Model: {'serial': 'model_20231126170611', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 0.800694112136113, 'RMSE': 0.8040660277154813, 'MAE': 2.1942277246506814}
Model: {'serial': 'model_20231126170653', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 1.1698187854004292, 'RMSE': 1.1466769783793838, 'MAE': 3.0323460501744086}
Model: {'serial': 'model_20231126170731', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 0.690065789613567, 'RMSE': 1.5788068125217596, 'MAE': 4.9501722987932615}
Model: {'serial': 'model_20231126170815', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.3032556545388065, 'RMSE': 1.3024479215876352, 'MAE': 3.391173551521375}
Model: {'serial': 'model_20231126170900', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 1.4022275151093915, 'RMSE': 2.141639049307042, 'MAE': 5.896945862679905}
Model: {'serial': 'model_20231126170951', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 1.2693279169637204, 'RMSE': 1.4317577213919106, 'MAE': 3.2765923507416668}
Model: {'serial': 'model_20231126171034', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 0.7551164506650597, 'RMSE': 1.4372735980273432, 'MAE': 3.5648273925400518}
Model: {'serial': 'model_20231126171118', 'input_memory': 48, 'head_size': 8, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 1.6616737453136805, 'RMSE': 1.4676736140953237, 'MAE': 3.8911325305876376}
Model: {'serial': 'model_20231126171208', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 0.9302797003272754, 'RMSE': 1.4159083452586254, 'MAE': 4.172501772339216}
Model: {'serial': 'model_20231126171254', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.3731798566899511, 'RMSE': 1.564409777327173, 'MAE': 3.8836449993879247}
Model: {'serial': 'model_20231126171359', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 1.2288634135220773, 'RMSE': 1.4947484773843573, 'MAE': 3.489239235466847}
Model: {'serial': 'model_20231126171447', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 0.8848281436766395, 'RMSE': 1.2534509286209299, 'MAE': 3.2002393811707313}
Model: {'serial': 'model_20231126171541', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.5908810285689534, 'RMSE': 1.4111053959881705, 'MAE': 4.13445368340227}
Model: {'serial': 'model_20231126171635', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 0.4806930455677434, 'RMSE': 1.5115455064834218, 'MAE': 4.017378487744068}
Model: {'serial': 'model_20231126171719', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 1.869892801811211, 'RMSE': 1.554315370888536, 'MAE': 3.195267227561207}
Model: {'serial': 'model_20231126171834', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 1.1602705391913428, 'RMSE': 1.0624576934737986, 'MAE': 2.584058084645008}
Model: {'serial': 'model_20231126171926', 'input_memory': 48, 'head_size': 8, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 1.531412437312886, 'RMSE': 1.4158466034719062, 'MAE': 3.1459718654616182}
Model: {'serial': 'model_20231126172017', 'input_memory': 48, 'head_size': 4, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 0.8719749608346812, 'RMSE': 0.9320991186766286, 'MAE': 2.6847633503032347}
Model: {'serial': 'model_20231126172104', 'input_memory': 48, 'head_size': 4, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.3342234626771743, 'RMSE': 1.2356850885832469, 'MAE': 2.965561194265341}
Model: {'serial': 'model_20231126172209', 'input_memory': 48, 'head_size': 4, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 1.5648262476481443, 'RMSE': 1.1614929257313034, 'MAE': 3.360362932272337}
